,Transport_Name,state_link,route_title,route_link,Bus Name,Bus Type,Start Time,Starting Point,Duration,Reaching Time,Destination,Rating,Starting Price,Available Seats,Single Seats
0,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,Satellite Bus Stand,07h 39m,21:25,"Ksrtc b s, mavoor rd","2.7
36",INR 729,6 Seats available,
1,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,Satellite Bus Stand,08h 50m,23:05,Kozhikode,"4.3
96",INR 627,9 Seats available,
2,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,Satellite Bus Stand,10h 00m,01:00,"Ksrtc b s, mavoor rd","2.9
18",INR 620,4 Seats available,
3,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,Satellite Bus Stand,08h 20m,23:45,"Ksrtc b s, mavoor rd","3.0
39",INR 729,17 Seats available,
4,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),16:15,Satellite Bus Stand,08h 45m,01:00,Kozhikode,"3.3
7",INR 567,4 Seats available,
5,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,Satellite Bus Stand,09h 30m,02:15,"Ksrtc b s, mavoor rd","3.5
14",INR 640,15 Seats available,
6,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,Satellite Bus Stand,09h 30m,04:30,"Ksrtc b s, mavoor rd","3.9
43",INR 640,17 Seats available,
7,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,Satellite Bus Stand,07h 45m,03:45,"Ksrtc b s, mavoor rd","3.8
83",INR 473,9 Seats available,
8,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1585,Swift Deluxe Non AC Air Bus (2+2),20:40,Satellite Bus Stand,09h 30m,06:10,Kozhikode,"3.5
64",INR 640,20 Seats available,
9,KSRTC (Kerala),https://www.redbus.in/online-booking/ksrtc-kerala,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1586,Swift Deluxe Non AC Air Bus (2+2),21:30,Satellite Bus Stand,09h 25m,06:55,Kozhikode,"3.5
41",INR 640,21 Seats available,
